eventID,site,habitatType,minimumElevationInMeters,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,eventDate,eventTime,startDayOfYear,eventRemarks,country,countryCode,locality,locationID,decimalLatitude,decimalLongitude,geodeticDatum,occurrenceID,basisOfRecord,occurrenceStatus,individualCount,vernacularName,scientificName,kingdom,phylum,class,order,family,taxonRank
SS_Moth_trap_1,South,Bog,,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,12,hour,09/11/2024,19:30,255,"Bird poo found in the morning, suspected to have eaten the moths in the area",Scotland,GB-SCT,Lochranza,,,,,SS_Moth_trap_1_Epirrita_sp.,HumanObservation,present,1,Moth,Epirrita sp.,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,genus
NS_Moth_trap_1,North,South border near stream,,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,12,hour,09/11/2024,19:47,255,,Scotland,GB-SCT,Lochranza,,55.70283,-5.26718,WGS84,NS_Moth_trap_1_Prosapia_bicincta,HumanObservation,present,1,Frog hopper,Prosapia bicincta,Animalia,Arthropoda,Insecta,Hemiptera,Cercopidae,species
NS_Moth_trap_1,North,South border near stream,,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,12,hour,09/11/2024,19:47,255,,Scotland,GB-SCT,Lochranza,,55.70283,-5.26718,WGS84,NS_Moth_trap_1_Xestia_xanthographa,HumanObservation,present,4,Square-spot rustic ,Xestia xanthographa,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,species
NS_Moth_trap_1,North,South border near stream,,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,12,hour,09/11/2024,19:47,255,,Scotland,GB-SCT,Lochranza,,55.70283,-5.26718,WGS84,NS_Moth_trap_1_Nephrotoma_appendiculata,HumanObservation,present,3,Crane fly,Nephrotoma appendiculata,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,species
NS_Moth_trap_1,North,South border near stream,,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,12,hour,09/11/2024,19:47,255,,Scotland,GB-SCT,Lochranza,,55.70283,-5.26718,WGS84,NS_Moth_trap_1_Noctua_comes,HumanObservation,present,3,Lesser yellow underwing,Noctua comes,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,species
NS_Moth_trap_1,North,South border near stream,,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,12,hour,09/11/2024,19:47,255,,Scotland,GB-SCT,Lochranza,,55.70283,-5.26718,WGS84,NS_Moth_trap_1_Eugnorisma_glareosa,HumanObservation,present,1,Autumnal rustic,Eugnorisma glareosa,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,species
NS_Moth_trap_1,North,South border near stream,,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,12,hour,09/11/2024,19:47,255,,Scotland,GB-SCT,Lochranza,,55.70283,-5.26718,WGS84,NS_Moth_trap_1_Gortyna_flavago,HumanObservation,present,1,Frosted orange,Gortyna flavago,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,species
NS_Moth_trap_1,North,South border near stream,,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,12,hour,09/11/2024,19:47,255,,Scotland,GB-SCT,Lochranza,,55.70283,-5.26718,WGS84,NS_Moth_trap_1_Amphipoea_sp.,HumanObservation,present,1,Ear moth,Amphipoea sp.,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,genus
NS_Moth_trap_1,North,South border near stream,,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,12,hour,09/11/2024,19:47,255,,Scotland,GB-SCT,Lochranza,,55.70283,-5.26718,WGS84,NS_Moth_trap_1_Agriphila_tristella,HumanObservation,present,1,Common grass veneer,Agriphila tristella,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,species
NS_Moth_trap_1,North,South border near stream,,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,12,hour,09/11/2024,19:47,255,,Scotland,GB-SCT,Lochranza,,55.70283,-5.26718,WGS84,NS_Moth_trap_1_Epinotia_abbreviana,HumanObservation,present,1,Moth,Epinotia abbreviana,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,species
NS_Moth_trap_1,North,South border near stream,,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,12,hour,09/11/2024,19:47,255,,Scotland,GB-SCT,Lochranza,,55.70283,-5.26718,WGS84,NS_Moth_trap_1_Halesus_radiatus,HumanObservation,present,1,Caddisfly,Halesus radiatus,Animalia,Arthropoda,Insecta,Trichoptera,Limnephilidae,species
NS_Moth_trap_1,North,South border near stream,,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,12,hour,09/11/2024,19:47,255,,Scotland,GB-SCT,Lochranza,,55.70283,-5.26718,WGS84,NS_Moth_trap_1_Metallina_sp.,HumanObservation,present,1,Spider,Metallina sp.,Animalia,Arthropoda,Arachnida,Araneae,Tetragnathidae,genus
NS_Moth_trap_1,North,South border near stream,,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,12,hour,09/11/2024,19:47,255,,Scotland,GB-SCT,Lochranza,,55.70283,-5.26718,WGS84,NS_Moth_trap_1_Stilbia_anomala,HumanObservation,present,1,Anomalous moth,Stilbia anomala,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,species
SS_Moth_trap_2,South,North border? Woodland,,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,12,hour,09/12/2024,19:00,256,,Scotland,GB-SCT,Lochranza,,,,,SS_Moth_trap_2_Nephrotoma_appendiculata,HumanObservation,present,3,Crane fly,Nephrotoma appendiculata,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,species
SS_Moth_trap_2,South,North border? Woodland,,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,12,hour,09/12/2024,19:00,256,,Scotland,GB-SCT,Lochranza,,,,,SS_Moth_trap_2_Xestia_xanthographa,HumanObservation,present,2,Square-spot rustic ,Xestia xanthographa,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,species
SS_Moth_trap_2,South,North border? Woodland,,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,12,hour,09/12/2024,19:00,256,,Scotland,GB-SCT,Lochranza,,,,,SS_Moth_trap_2_Seira_domestica_,HumanObservation,present,1,Springtail,Seira domestica ,Animalia,Arthropoda,Collembola ,Lepidoptera,Entomobryidae,species
SS_Moth_trap_2,South,North border? Woodland,,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,12,hour,09/12/2024,19:00,256,,Scotland,GB-SCT,Lochranza,,,,,SS_Moth_trap_2_Ophion_sp.,HumanObservation,present,1,Ichneumonid wasp,Ophion sp.,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,genus
NS_Moth_trap_2,North,Centre woodland,,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,12,hour,09/12/2024,19:00,256,,Scotland,GB-SCT,Lochranza,,55.70502,-5.28172,WGS84,NS_Moth_trap_2_Nephrotoma_appendiculata,HumanObservation,present,4,Crane fly,Nephrotoma appendiculata,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,species
NS_Moth_trap_2,North,Centre woodland,,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,12,hour,09/12/2024,19:00,256,,Scotland,GB-SCT,Lochranza,,55.70502,-5.28172,WGS84,NS_Moth_trap_2_Prosapia_bicincta,HumanObservation,present,2,Frog hopper,Prosapia bicincta,Animalia,Arthropoda,Insecta,Hemiptera,Cercopidae,species
NS_Moth_trap_2,North,Centre woodland,,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,12,hour,09/12/2024,19:00,256,,Scotland,GB-SCT,Lochranza,,55.70502,-5.28172,WGS84,NS_Moth_trap_2_Auchenorrhyncha,HumanObservation,present,2,Leaf hopper,Auchenorrhyncha,Animalia,Arthropoda,Insecta,Hemiptera,,suborder
NS_Moth_trap_2,North,Centre woodland,,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,12,hour,09/12/2024,19:00,256,,Scotland,GB-SCT,Lochranza,,55.70502,-5.28172,WGS84,NS_Moth_trap_2_Xestia_xanthographa,HumanObservation,present,3,Square-spot rustic ,Xestia xanthographa,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,species
NS_Moth_trap_2,North,Centre woodland,,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,12,hour,09/12/2024,19:00,256,,Scotland,GB-SCT,Lochranza,,55.70502,-5.28172,WGS84,NS_Moth_trap_2_Trichoceridae_indet,HumanObservation,present,1,Winter crane fly,Trichoceridae indet,Animalia,Arthropoda,Insecta,Diptera,Trichoderidae,family
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,